source_id,source_name,lat,lon,total_co2_emissions_2024
1,AGARTALA GT,23.8712,91.3602,91360200
2,AKALTARA TPP,21.9603,82.4091,82409100
3,AKRIMOTA LIG,23.7689,68.6447,68644700
7,AMAR KANTAK,23.1642,81.6373,81637300
8,AMARAVATI TPP,21.0782,77.9009,77900900
10,"ANAPARA ""C""",24.2007,82.8,82800000
13,ANPARA,24.201,82.7891,82789100
14,ANTA GT,25.1797,76.3188,76318800
15,ANUPPUR TPP,23.0655,81.7865,81786500
16,AURAIYA GT,26.6282,79.5286,79528600
17,AVANTHA BHANDAR TPP,21.7438,83.2741,83274100
24,BAKRESWAR,23.8285,87.4513,87451300
26,BALCO TPP,22.3930944,82.7439443,82743944.3
27,BANDAKHAR TPP,22.3421,82.4305,82430500
28,BANDEL,22.9956,88.4042,88404200
34,BARADARHA TPP,21.9114,83.1889,83188900
35,BARAMURA,23.807,91.565,91565000
36,BARAUNI,25.3999,86.0218,86021800
39,BARH STPP,25.4865,85.7452,85745200
40,BARKHERA TPP,28.4723,79.8066,79806600
41,BARSINGAR LIGNITE,27.8453,73.2,73200000
47,BELLARY TPS,15.1932,76.7195,76719500
49,BHADRADRI  TPP,18.027488,80.735645,80735645
54,BHAVNAGAR TPP,21.5837,72.2222,72222200
58,BHILAI TPP,21.184,81.4237,81423700
62,BHUSAWAL,21.0483,75.8425,75842500
63,BINA TPP,23.3172,78.1336,78133600
64,BINJKOTE,22.0103,83.2058,83205800
68,BOKARO A ''EXP'',23.6783,86.0888,86088800
71,BONGAIGAON TPP,26.5145,90.5287,90528700
73,BUDGE BUDGE,22.4673,88.14,88140000
76,CHAKABURA TPP,22.3932,82.5532,82553200
80,CHANDRAPUR_Coal,20.0063,79.29,79290000
82,CHANDRAPURA,23.7376,86.1273,86127300
86,CHHABRA TPS,24.6217,77.0357,77035700
92,D.P.L.,23.5211,87.3023,87302300
93,DADRI (NCTPP),28.603,77.6078,77607800
94,DADRI GT,28.5932,77.6101,77610100
95,DAMODARAM SANJEEVAIAH,14.3444,80.1264,80126400
96,DARLIPALLI STPP St-I,21.963554,83.89187,83891870
98,DERANG,21.1238,84.9843,84984300
99,DGEN MEGA CCCP,21.6923,72.6215,72621500
102,DHANU,19.9545,72.7478,72747800
103,DHARIWAL INF TPP ,20.0102,79.2033,79203300
105,DHOLPUR,26.7024,77.8492,77849200
107,DHUVARAN CCPP,22.2396,72.752,72752000
109,DISHERGARH TPP,23.689366,86.854318,86854318
117,DURGAPUR STEEL TPS,23.58,87.2043,87204300
120,EMCO GMR WARORA TPP,20.2723,78.9793,78979300
123,F_BAD CCPP,28.3452,77.3615,77361500
125,FARAKKA STPS,24.772,87.894,87894000
127,GADARWARA,22.8618,78.8648,78864800
129,GAMA CCPP  Module - 1,29.1411,78.9632,78963200
130,GANDHAR GT,21.8242,73.1136,73113600
132,GANDHI NAGAR,25.2502,72.6765,72676500
140,GHTP (LEH.MOH.),30.2666,75.1661,75166100
146,GOINDWAL SAHIB TPP,31.3841,75.1464,75146400
148,H_GANJ B,28.0179,78.1326,78132600
149,H_GANJ B EXP-II,28.0175,78.13,78130000
150,HALDIA ,22.1042,88.1764,88176400
154,HAZIRA-GSECL,21.1652,72.6613,72661300
157,I.B.VALLEY,21.6872,83.86,83860000
158,I.P.GT,28.6194,77.2504,77250400
162,"IEPL ,BELA TPP",20.8102,79.0556,79055600
163,"INDIA POWER TPP(HALDIA, HIRANMAYE )",22.0774,88.0995,88099500
165,ITPCL TPP,11.5214,79.7515,79751500
166,IND BARATH TPP (UTKAL),21.658,83.92,83920000
167,INDRA GANDHI STPP ,28.4849,76.3754,76375400
170,JALLIPPA KAPURDI TPP,25.8888,71.3236,71323600
171,JEGURUPADU GT,16.9312,81.86,81860000
173,JOJBERA,22.7554,86.2491,86249100
175,JSW RATNAGIRI TPP,17.297,73.212,73212000
177,K_GUDEM NEW,17.6219,80.6936,80693600
178,K_KHEDA II,21.2818,79.116,79116000
182,KAHALGAON,25.2349,87.2635,87263500
184,KAKATIYA TPP ,18.3835,79.8265,79826500
189,KALISINDH,24.5295,76.0986,76098600
191,KAMALANGA ,20.87,85.2671,85267100
194,KARAIKAL,10.9325,79.8216,79821600
199,KASAIPALLI,22.389,82.5549,82554900
202,KASHIPUR CCPP,29.154721,78.974029,78974029
204,KATHALGURI GT,27.341,95.408,95408000
205,KAWAI TPP ,24.7773,76.737,76737000
206,KAWAS GT,21.175,72.6879,72687900
209,KHAMBERKHERA IPP,28.017,80.8307,80830700
212,KHARGONE STPP St-I,22.065169,75.851943,75851943
219,KODERMA,24.3858,85.5517,85551700
221,KOLAGHAT,22.4157,87.8713,87871300
226,KORADI,21.2414,79.096,79096000
227,KORBA STPS,22.3881,82.6858,82685800
228,KORBA-EAST,22.3828,82.7188,82718800
229,KORBA-WEST,22.4118,82.6888,82688800
231,KOTA,25.1712,75.8171,75817100
236,KUDGI,16.4994,75.8349,75834900
240,KUNDARKI TPP,27.0786,82.0841,82084100
241,KUTCH LIG.,23.6626,68.7843,68784300
243,KUTTALAM GT,11.076,79.57,79570000
247,LAKWA GT,27.0221,94.8833,94883300
248,LARA,21.757,83.4573,83457300
250,LALITPUR TPP,24.7971,78.6463,78646300
266,MAHADEV PRASAD STPP,22.8395,86.0613,86061300
267,MAHAN TPP,24.0077,82.4172,82417200
268,MAHATMA GANDHI TPP,28.49,76.351,76351000
272,MAITHON RB TPP,23.8209,86.76,86760000
280,MAQSOODPUR  IPP,28.24440447,79.99754701,79997547.01
281,MARWA TPP,22.0708,82.6022,82602200
283,MEJA STPP,25.1447,81.9415,81941500
284,MEJIA,23.4639,87.1311,87131100
285,MEJIA TPS EXT,23.4639,87.1311,87131100
286,MELAMARUTHUR (MUTHIARA),8.9159,78.1374,78137400
287,METTUR,11.7696,77.8138,77813800
289,METTUR TPS EXT,11.7696,77.8138,77813800
294,MONARCHAK CCPP,23.438,91.274,91274000
295,MOUDA STPS,21.1797,79.3978,79397800
300,MUNDRA TPP ,22.823,69.5532,69553200
301,MUNDRA UMPP,22.8158,69.5281,69528100
303,MUZAFFARPUR,26.1953,85.3017,85301700
310,NABI NAGAR TPP (BRBCL),24.7065,84.0887,84088700
311,NABI NAGAR STPP (NEW),24.7754,84.1588,84158800
312,NAMRUP GT,27.1858,95.376,95376000
316,NASHIK,19.9817,73.8896,73889600
319,NAWAPARA,21.92,83.2788,83278800
323,NEYVELI FST EXT,11.5887,79.4611,79461100
325,NEYVELI ST II,11.5576,79.4417,79441700
326,NEYVELI NEW TPP,11.547055,79.44289,79442890
327,NEYVELI TPS EXP -II,11.5534,79.4408,79440800
328,NEYVELI TPS(Z),11.5401,79.4159,79415900
329,NIGRIE,24.14997,81.904525,81904525
332,NIWARI TPP ,22.958166,78.732893,78732893
334,NORTH CHENNAI,13.245,80.3257,80325700
335,NORTH CHENNAI EXTENSION,13.245,80.3257,80325700
338,OBRA-A ,24.4448,82.9803,82980300
342,PAINAMPURAM,14.3512,80.1431,80143100
344,PALATANA (TRIPURA CCPP),23.4987,91.4385,91438500
348,PANIPAT,29.3975,76.8763,76876300
352,PARAS,20.7147,76.7948,76794800
355,PARICHA,25.5124,78.7588,78758800
356,PARLI,18.8685,76.5254,76525400
358,PATHADI TPS PH -I,22.2454,82.7246,82724600
366,PIPAVAV CCCP,20.8986,71.4693,71469300
371,PRAGATI CCCP -III,28.7962,77.0706,77070600
372,PRAGATI CCGT,28.6146,77.2528,77252800
374,PRYAGRAJ (BARA) TPP,25.196,81.6594,81659400
381,R_GUNDEM - B,18.7695,79.4494,79449400
382,R_GUNDEM STPS,18.7572,79.456,79456000
384,RAGHUNATHPUR TPP PH-I,23.622,86.661,86661000
385,RAICHUR,16.3532,77.3422,77342200
386,RAIGARH TPP,21.9846,83.2331,83233100
387,RAIKHEDA,21.4499,81.8525,81852500
390,RAJIV GANDHI  TPS HISAR,29.356,75.869,75869000
391,RAJPURA TPP ,30.557,76.577,76577000
393,RAMGARH GT,27.336,70.538,70538000
399,RATIJA TPP,22.3404,82.493,82493000
400,RATNAGIRI GAS,17.5587,73.167,73167000
401,RAYAL SEEMA,14.704,78.4577,78457700
404,RIHAND,24.027,82.7915,82791500
408,ROKHIA GT,23.626,91.1948,91194800
410,ROPAR,31.0417,76.5847,76584700
411,ROSA TPP PH - 1,27.818,79.936,79936000
415,SAGARDIGHI TPP,24.3696,88.1046,88104600
418,SALAYA TPP,22.3049,69.7101,69710100
423,SANJAY GANDHI,23.3026,81.0668,81066800
424,SANTALDIH,23.6013,86.4666,86466600
426,SASAN UMPP,23.9784,82.6275,82627500
427,SATPURA,22.11,78.173,78173000
429,SEIONI TPP ,22.7355,79.9123,79912300
430,SEMBCORP GAYATRI ,14.351,80.1443,80144300
440,SHIRPUR,21.15103,74.854206,74854206
444,Shri Singaji MALWA TPP,22.0971,76.5317,76531700
445,SIKKA REP.,22.4208,69.8276,69827600
446,SIMHADRI,17.591,83.0917,83091700
447,SIMHAPURI TPP,14.2133,80.0838,80083800
448,SINGARENI TPP,18.8372,79.5748,79574800
450,SINGRAULI STPS,24.1033,82.7068,82706800
452,SIPAT STPS,22.13,82.293,82293000
455,SOLAPUR STPP,31.7537,77.246,77246000
459,SOUTHERN REPL.,22.5488,88.2926,88292600
464,STERLITE TPP,21.8144,84.0404,84040400
466,SUGEN CCCP,21.3395,72.9889,72988900
468,SURAT LIG.,21.397,73.106,73106000
469,SURATGARH,29.179,74.0202,74020200
472,SVPL,22.2915,82.5257,82525700
477,TALCHER STPS,21.0966,85.074,85074000
478,TALWANDI SABO,29.924,75.2372,75237200
479,TAMNAR TPP,22.0987,83.4513,83451300
481,TANDA,26.586,82.602,82602000
492,TENUGHAT,23.7573,85.8936,85893600
493,THAMMINAPATNAM TPP,14.2133,80.0838,80083800
497,TIRORA TPP,21.4129,79.9671,79967100
499,TORANGALLU EXT,15.1839,76.6622,76662200
500,TORANGALLU IMP,15.1839,76.6622,76662200
501,TORR POWER SAB.,23.0701,72.5933,72593300
503,TROMBAY GT,19.0018,72.8967,72896700
504,TROMBAY_Coal,19.0004,72.8983,72898300
507,TUTICORIN,8.7635,78.1753,78175300
509,TUTICORIN JV ,8.7603,78.1699,78169900
510,TUTICORIN JV  Stage-IV,8.75531057,78.15803095,78158030.95
513,UCHPINDA TPP,21.8858,83.1215,83121500
514,UDUPI TPP,13.1596,74.8002,74800200
517,UKAI_Coal,21.2093,73.5574,73557400
521,UNCHAHAR,25.9131,81.3274,81327400
522,UNO SUGEN,21.3411,72.9895,72989500
527,URAN GT,18.88,72.9715,72971500
531,UTRAN CCCP EXT,21.2285,72.8705,72870500
533,UTRAULA TPP,27.3455,82.3166,82316600
537,VALLUR ntpc/ntecl,13.2371,80.3023,80302300
538,VALUTHUR GT,9.3484,78.9235,78923500
542,VIJAYWADA,16.5984,80.537,80537000
544,VINDH_CHAL STPS,24.0983,82.6719,82671900
547,VIZAG TPP,17.5635,83.1382,83138200
548,WANAKBORI,22.8725,73.3588,73358800
549,WARDHA WARORA(Sai Wardha Power),20.2727,78.9792,78979200
552,YAMUNANAGAR TPP,30.1081,77.3257,77325700
554,YERMARUS TPP,16.2949,77.3568,77356800
556,JAWAHARPUR STPP,27.497098,78.826071,78826071
558,NORTH KARANPURA,23.850772,85.012411,85012411
559,OBRA-C STPP,24.4445803,82.9803325,82980332.5
560,SHREE CEMENT ,26.073889,74.385,74385000
564,TELANGANA STPP,18.75146,79.471916,79471916
567,OPG POWER GENERATION PRIVATE,13.437422,80.09788,80097880
569,YADADRI TPS ,16.708219,79.581184,79581184
570,GHATAMPUR TPP,25.975,80.1889,80188900
571,KHURJA STPP,28.158333,77.908333,77908333
572,Maadurga Thermal Power Company Ltd. ,20.57622,86.020728,86020728
573,YELHANKA CCPP,13.117556,77.581875,77581875
